dataset,dataset_slug,source_dataset,source_dataset_slug,model,initialization,train_size,val_size,test_size,image_size,test_accuracy,test_loss,macro_f1,weighted_f1,best_val_accuracy,parameter_count,training_time_seconds,training_time_readable,source_checkpoint,checkpoint_path
Brain Tumor MRI,brain_tumor_mri,CIFAR-10,cifar10,cnn,pretrained,4760,840,1600,128,0.8938,0.8069,0.8917,0.8917,0.9429,372740,796.48,13m 16s,outputs/checkpoints/cnn_100pct_best.pt,outputs/brain_mri_transfer/checkpoints/cnn_pretrained_brain_tumor_mri_best.pt
Brain Tumor MRI,brain_tumor_mri,CIFAR-10,cifar10,cnn,pretrained,4760,840,1600,128,0.6731,0.9175,0.6715,0.6715,0.7333,1028,2530.46,42m 10s,outputs/checkpoints/cnn_100pct_best.pt,outputs/brain_mri_transfer/checkpoints/cnn_pretrained_linear_probe_brain_tumor_mri_best.pt
Brain Tumor MRI,brain_tumor_mri,CIFAR-10,cifar10,cnn,scratch,4760,840,1600,128,0.8256,0.8853,0.823,0.823,0.9155,372740,798.08,13m 18s,None,outputs/brain_mri_transfer/checkpoints/cnn_scratch_brain_tumor_mri_best.pt
Brain Tumor MRI,brain_tumor_mri,CIFAR-10,cifar10,dhvt,pretrained,4760,840,1600,128,0.94,0.6487,0.9386,0.9386,0.9881,5990122,9078.26,2h 31m 18s,outputs/checkpoints/dhvt_100pct_best.pt,outputs/brain_mri_transfer/checkpoints/dhvt_pretrained_full_finetune_brain_tumor_mri_best.pt
Brain Tumor MRI,brain_tumor_mri,CIFAR-10,cifar10,dhvt,pretrained,4760,840,1600,128,0.7688,0.7653,0.7648,0.7648,0.8405,772,3564.47,59m 24s,outputs/checkpoints/dhvt_100pct_best.pt,outputs/brain_mri_transfer/checkpoints/dhvt_pretrained_linear_probe_brain_tumor_mri_best.pt
Brain Tumor MRI,brain_tumor_mri,CIFAR-10,cifar10,dhvt,scratch,4760,840,1600,128,0.8788,0.5215,0.8776,0.8776,0.9345,5990122,10620.52,2h 57m 00s,None,outputs/brain_mri_transfer/checkpoints/dhvt_scratch_full_finetune_brain_tumor_mri_best.pt
Brain Tumor MRI,brain_tumor_mri,CIFAR-10,cifar10,vit,pretrained,4760,840,1600,128,0.93,0.7062,0.9279,0.9279,0.9762,1987012,2876.16,47m 56s,outputs/checkpoints/vit_100pct_best.pt,outputs/brain_mri_transfer/checkpoints/vit_pretrained_brain_tumor_mri_best.pt
Brain Tumor MRI,brain_tumor_mri,CIFAR-10,cifar10,vit,pretrained,4760,840,1600,128,0.76,0.8615,0.7524,0.7524,0.8179,772,928.06,15m 28s,outputs/checkpoints/vit_100pct_best.pt,outputs/brain_mri_transfer/checkpoints/vit_pretrained_linear_probe_brain_tumor_mri_best.pt
Brain Tumor MRI,brain_tumor_mri,CIFAR-10,cifar10,vit,scratch,4760,840,1600,128,0.8588,0.6325,0.8554,0.8554,0.9214,1987012,2867.12,47m 47s,None,outputs/brain_mri_transfer/checkpoints/vit_scratch_brain_tumor_mri_best.pt
